publishDate,hToneOnePN,hToneTwoPN,toneOnePN,toneOneAP,toneOneSW,toneOneOU,toneTwoPN,toneTwoAP,toneTwoSW,toneTwoOU
2015-11-03T17:41:07.000+01:00,5.594594594594595,0.6967213114754098,2.279187817258883,1.797583081570997,7.0285714285714285,2.009584664536741,0.39009287925696595,0.28509719222462204,0.7508896797153025,0.3354564755838641
2015-07-23T18:05:06.000+02:00,6.225806451612903,0.7232142857142857,2.4611111111111112,2.0431654676258995,7.966666666666667,2.0625,0.42215088282504015,0.34278959810874704,0.7769516728624535,0.3469387755102041
2015-04-30T19:41:04.000+02:00,4.462686567164179,0.6338797814207651,2.3558718861209966,1.7159763313609468,5.962655601659751,1.8333333333333333,0.40402969247083775,0.2636165577342048,0.7127532777115614,0.29411764705882354
2015-02-05T20:18:02.000+01:00,5.150943396226415,0.6748466257668712,2.4456521739130435,1.8402366863905326,5.167741935483871,2.215909090909091,0.4195583596214511,0.29583333333333334,0.6757322175732218,0.37809187279151946
2014-10-30T18:50:17.000+01:00,9.88888888888889,0.8163265306122449,2.962962962962963,1.7520891364902507,5.33112582781457,1.8790035587188612,0.4953271028037383,0.2732793522267207,0.6841004184100419,0.3053152039555006
2014-07-29T20:24:05.000+02:00,10.052631578947368,0.819047619047619,2.76271186440678,1.8704103671706263,5.144859813084112,1.7532133676092545,0.46846846846846846,0.30323551542513166,0.6745247148288973,0.2735760971055089
2014-05-01T18:50:05.000+02:00,7.696969696969697,0.7700348432055749,2.7023809523809526,1.7238372093023255,4.318435754189944,1.7244582043343653,0.45980707395498394,0.2657417289220918,0.6239495798319328,0.26590909090909093
2014-02-04T22:22:05.000+01:00,10.68421052631579,0.8288288288288288,2.904382470119522,1.8832271762208068,7.390243902439025,2.213888888888889,0.48775510204081635,0.30633284241531666,0.7616279069767442,0.3777009507346586
2013-10-29T18:30:05.000+01:00,9.513513513513514,0.8097686375321337,2.0372670807453415,1.964,4.4523809523809526,1.7237113402061857,0.34151329243353784,0.3252361673414305,0.6331877729257642,0.2657077971233914
2013-07-30T20:30:06.000+02:00,5.948275862068965,0.7121588089330024,2.4464944649446494,1.7987551867219918,4.710743801652892,2.158682634730539,0.4197002141327623,0.2853965900667161,0.6497829232995659,0.36682464454976305
2013-04-30T18:30:08.000+02:00,9.153846153846153,0.803030303030303,2.435344827586207,1.8937644341801385,4.264957264957265,1.750733137829912,0.4178168130489335,0.3088587390263368,0.6201298701298701,0.27292110874200426
2013-02-12T21:30:00.000+01:00,9.341463414634147,0.8066037735849056,2.0781476121562954,1.7946360153256704,4.307142857142857,2.0903790087463556,0.35025858015984956,0.28434329585961066,0.6231493943472409,0.35283018867924526
2012-11-11T18:24:00.000+01:00,11.692307692307692,0.8424242424242424,2.5825242718446604,1.6590038314176245,4.148760330578512,1.9739583333333333,0.44173441734417346,0.2478386167146974,0.6115569823434992,0.3274956217162872
2012-11-06T04:10:07.000+01:00,10.6,0.8275862068965517,2.36996336996337,1.7887323943661972,5.152263374485597,1.7825059101654845,0.40652173913043477,0.2828282828282828,0.6749163879598662,0.2812234494477485
2012-07-18T03:10:05.000+02:00,5.352941176470588,0.6851851851851852,2.1048034934497815,1.6950354609929077,3.7142857142857144,1.7713498622589532,0.3558368495077356,0.2578947368421053,0.5757575757575758,0.2783300198807157
2012-04-26T22:10:07.000+02:00,7.857142857142857,0.7741935483870968,2.3183520599250937,1.6941838649155723,3.6895306859205776,2.141388174807198,0.3972911963882618,0.2576601671309192,0.573518090839107,0.36333878887070375
2012-02-15T00:20:07.000+01:00,10.875,0.8315789473684211,2.478802992518703,1.8859223300970873,4.524822695035461,1.9491525423728813,0.425089605734767,0.3069806560134567,0.637997432605905,0.3218390804597701
2011-11-01T20:40:08.000+01:00,4.808219178082192,0.6556603773584906,1.7342105263157894,1.802065404475043,3.5889212827988337,1.6733212341197823,0.2685274302213667,0.28624078624078625,0.5641677255400254,0.25186693822131706
2011-07-20T03:00:18.000+02:00,5.083333333333333,0.6712328767123288,2.412087912087912,1.824925816023739,4.2460732984293195,1.6666666666666667,0.4138486312399356,0.2920168067226891,0.6187624750499002,0.25
2011-05-03T21:00:22.000+02:00,5.686274509803922,0.7008797653958945,2.4591836734693877,1.7346938775510203,4.265700483091788,1.828125,0.4218289085545723,0.26865671641791045,0.6201834862385321,0.292817679558011
2011-02-09T10:20:27.000+01:00,4.784313725490196,0.6542372881355932,2.3205741626794256,1.7471526195899771,4.155251141552512,1.7213541666666667,0.3976945244956772,0.27197346600331673,0.6120460584588131,0.26507177033492824
2010-10-26T20:05:37.000+02:00,8.870967741935484,0.7973856209150327,2.5794392523364484,1.8202764976958525,4.167381974248927,1.7216494845360826,0.4412532637075718,0.2908496732026144,0.6129568106312292,0.26515151515151514
2010-07-21T04:34:12.000+02:00,5.2368421052631575,0.679324894514768,2.764705882352941,1.7139639639639639,3.4393305439330546,1.6187683284457477,0.46875,0.26307053941908715,0.5494816211121584,0.23628219484882418
2010-04-28T07:00:59.000+02:00,4.634615384615385,0.6450511945392492,1.9274193548387097,1.8422391857506362,3.737327188940092,1.6647230320699709,0.3168044077134986,0.2963294538943599,0.5778210116731517,0.24945295404814005
2010-02-05T04:17:12.000+01:00,4.673913043478261,0.6475095785440613,1.9950248756218905,1.6079404466501241,3.3623853211009176,2.1300448430493275,0.33222591362126247,0.23311132254995243,0.5415352260778128,0.36103151862464183
