publishDate,hToneOnePN,hToneTwoPN,toneOnePN,toneOneAP,toneOneSW,toneOneOU,toneTwoPN,toneTwoAP,toneTwoSW,toneTwoOU
2016-01-22T00:09:13.000+01:00,3.1313131313131315,0.5158924205378973,2.635,1.6111111111111112,4.199095022624435,1.8804071246819338,0.4497936726272352,0.23404255319148937,0.6153176675369887,0.30565371024734983
2015-10-16T03:10:13.000+02:00,2.396039603960396,0.4110787172011662,2.9170731707317072,1.6735537190082646,3.8290598290598292,2.037249283667622,0.48941469489414696,0.25193199381761977,0.5858407079646017,0.34150943396226413
2015-07-17T01:58:03.000+02:00,3.255813953488372,0.5300546448087432,2.1739130434782608,1.8571428571428572,4.3316831683168315,1.617866004962779,0.3698630136986301,0.3,0.6248839368616528,0.23601895734597156
2015-04-17T01:20:09.000+02:00,4.508474576271187,0.6369230769230769,2.6761363636363638,1.6377551020408163,3.795,1.6554878048780488,0.4559505409582689,0.24177949709864605,0.5828988529718456,0.2468427095292767
2015-01-16T12:42:00.000+01:00,3.9714285714285715,0.5977011494252874,3.1056338028169015,1.6775067750677506,4.101522842639594,1.8247978436657681,0.5128644939965694,0.25303643724696356,0.6079601990049751,0.2919847328244275
2014-10-17T01:38:06.000+02:00,4.473684210526316,0.6346153846153846,2.7225806451612904,1.758974358974359,3.600985221674877,1.9326241134751774,0.462738301559792,0.275092936802974,0.5653104925053534,0.3180169286577993
2014-07-18T02:17:05.000+02:00,5.95,0.7122302158273381,3.1949685534591197,1.9168831168831169,3.7889908256880735,1.6657142857142857,0.5232383808095952,0.3143365983971505,0.5823754789272031,0.2497320471596999
2014-04-18T02:49:07.000+02:00,7.384615384615385,0.7614678899082569,2.7512953367875648,1.9214285714285715,4.040358744394619,1.6724137931034482,0.46685082872928174,0.3154034229828851,0.603202846975089,0.25161290322580643
2014-01-17T00:40:10.000+01:00,5.311111111111111,0.6830985915492958,1.980952380952381,1.6567567567567567,2.6379310344827585,1.8456375838926173,0.329073482428115,0.24720244150559512,0.45023696682464454,0.2971698113207547
2013-12-11T17:42:04.000+01:00,6.0,0.7142857142857143,2.79,1.5541401273885351,2.8153846153846156,1.9617021276595745,0.47229551451187335,0.2169576059850374,0.47580645161290325,0.32471264367816094
2013-10-17T23:50:03.000+02:00,3.9642857142857144,0.5971223021582733,1.8722627737226278,1.8481561822125814,2.9930555555555554,1.8641975308641976,0.3036848792884371,0.2977913175932978,0.4991304347826087,0.3017241379310345
2013-09-17T18:00:06.000+02:00,7.35,0.7604790419161677,3.0547945205479454,1.3408239700374531,3.2260273972602738,2.5,0.5067567567567568,0.1456,0.526742301458671,0.42857142857142855
2013-07-19T00:40:07.000+02:00,3.4942528735632186,0.5549872122762148,1.9679715302491103,1.8652173913043477,3.402930402930403,1.7641723356009071,0.3261390887290168,0.30197268588770865,0.5457570715474209,0.27645611156685806
2013-04-19T00:00:43.000+02:00,2.7681159420289854,0.46923076923076923,2.3333333333333335,1.9123376623376624,2.9128440366972477,1.4184782608695652,0.4,0.3132664437012263,0.488862837045721,0.17303370786516853
2013-01-14T20:20:06.000+01:00,5.571428571428571,0.6956521739130435,2.267857142857143,1.8768328445747802,3.71356783919598,2.029850746268657,0.3879781420765027,0.30479102956167176,0.5756929637526652,0.3399014778325123
2012-10-19T00:00:45.000+02:00,2.960526315789474,0.4950166112956811,1.9747474747474747,1.7375690607734806,3.217573221757322,1.7011834319526626,0.32767402376910015,0.2694248234106963,0.5257936507936508,0.25958378970427165
2012-07-19T23:50:02.000+02:00,2.8354430379746836,0.47854785478547857,2.073446327683616,1.6259946949602122,3.1710526315789473,1.552112676056338,0.3492647058823529,0.2383838383838384,0.5205047318611987,0.2163355408388521
2012-04-20T00:20:05.000+02:00,3.4507042253521125,0.5506329113924051,2.4545454545454546,1.823960880195599,3.1171875,1.4954545454545454,0.42105263157894735,0.2917748917748918,0.5142314990512334,0.19854280510018216
2012-01-20T00:00:09.000+01:00,3.2058823529411766,0.5244755244755245,1.7828054298642535,2.0759878419452886,3.258771929824561,1.5555555555555556,0.2813008130081301,0.34980237154150196,0.5303810504634398,0.21739130434782608
2011-12-06T02:30:00.000+01:00,4.1528662420382165,0.6118665018541409,2.0240963855421685,1.3991111111111112,3.5166402535657686,1.5640718562874252,0.3386454183266932,0.1663579103371619,0.5571929824561404,0.21999065857076133
2011-10-21T01:00:10.000+02:00,2.5060240963855422,0.42955326460481097,1.7160493827160495,1.625,3.0120481927710845,1.6494565217391304,0.2636363636363636,0.23809523809523808,0.5015015015015015,0.24512820512820513
2011-07-21T23:30:11.000+02:00,4.520833333333333,0.6377358490566037,3.0,1.6266666666666667,4.0,1.5525291828793775,0.5,0.23857868020304568,0.6,0.21646341463414634
2011-04-22T02:50:13.000+02:00,5.909090909090909,0.7105263157894737,2.070588235294118,1.896057347670251,4.098684210526316,1.6446886446886446,0.3486590038314176,0.3094059405940594,0.607741935483871,0.24376731301939059
2011-01-21T17:39:26.000+01:00,4.1521739130434785,0.6118143459915611,1.7647058823529411,2.0230414746543777,3.757142857142857,1.536480686695279,0.2765957446808511,0.3384146341463415,0.5795795795795796,0.21150592216582065
2010-07-15T23:31:13.000+02:00,3.1717171717171717,0.5205811138014528,1.7209302325581395,1.6587301587301588,3.747826086956522,1.9450171821305842,0.26495726495726496,0.24776119402985075,0.5787545787545788,0.3208868144690782
2010-04-15T23:55:18.000+02:00,3.0454545454545454,0.5056179775280899,1.6454545454545455,1.8935574229691876,4.179245283018868,1.8955696202531647,0.24398625429553264,0.30880929332042595,0.6138433515482696,0.3092896174863388
