Pass #: 259; Equity: 50,990.26; Profit / Loss: 994.20; Balance: 49,998.02; Total Trades: 1; Profit Factor: 990.07; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=40, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=2.5
Pass #: 37; Equity: 50,908.77; Profit / Loss: 920.60; Balance: 50,908.77; Total Trades: 3; Profit Factor: 909.17; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=1.5
Pass #: 38; Equity: 50,908.77; Profit / Loss: 920.60; Balance: 50,908.77; Total Trades: 3; Profit Factor: 909.17; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=1.5
Pass #: 39; Equity: 50,908.77; Profit / Loss: 920.60; Balance: 50,908.77; Total Trades: 3; Profit Factor: 909.17; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=1.5
Pass #: 67; Equity: 50,908.77; Profit / Loss: 920.60; Balance: 50,908.77; Total Trades: 3; Profit Factor: 909.17; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=1.5
Pass #: 68; Equity: 50,908.77; Profit / Loss: 920.60; Balance: 50,908.77; Total Trades: 3; Profit Factor: 909.17; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=1.5
Pass #: 69; Equity: 50,908.77; Profit / Loss: 920.60; Balance: 50,908.77; Total Trades: 3; Profit Factor: 909.17; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=20, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=1.5
Pass #: 110; Equity: 50,797.66; Profit / Loss: 801.60; Balance: 50,797.66; Total Trades: 2; Profit Factor: 798.06; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=40, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=150, tpMultiplier=2.0
Pass #: 140; Equity: 50,797.66; Profit / Loss: 801.60; Balance: 50,797.66; Total Trades: 2; Profit Factor: 798.06; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=40, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=2.0
Pass #: 170; Equity: 50,797.66; Profit / Loss: 801.60; Balance: 50,797.66; Total Trades: 2; Profit Factor: 798.06; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, bellyPips=40, myPeriod=30 Mins, candlesToWait=14, slMultiplier=2.0, numberOfBars=150, tpMultiplier=2.0
