Pass #: 18; Equity: 50,788.07; Profit / Loss: 849.20; Balance: 50,788.07; Total Trades: 23; Profit Factor: 3.41; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 21; Equity: 50,788.07; Profit / Loss: 849.20; Balance: 50,788.07; Total Trades: 23; Profit Factor: 3.41; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 24; Equity: 50,788.07; Profit / Loss: 849.20; Balance: 50,788.07; Total Trades: 23; Profit Factor: 3.41; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 78; Equity: 50,788.07; Profit / Loss: 849.20; Balance: 50,788.07; Total Trades: 23; Profit Factor: 3.41; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 81; Equity: 50,788.07; Profit / Loss: 849.20; Balance: 50,788.07; Total Trades: 23; Profit Factor: 3.41; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 84; Equity: 50,788.07; Profit / Loss: 849.20; Balance: 50,788.07; Total Trades: 23; Profit Factor: 3.41; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 41; Equity: 50,961.94; Profit / Loss: 1,031.20; Balance: 50,961.94; Total Trades: 27; Profit Factor: 3.22; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 138; Equity: 50,710.12; Profit / Loss: 767.20; Balance: 50,710.12; Total Trades: 22; Profit Factor: 3.17; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 141; Equity: 50,710.12; Profit / Loss: 767.20; Balance: 50,710.12; Total Trades: 22; Profit Factor: 3.17; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 144; Equity: 50,710.12; Profit / Loss: 767.20; Balance: 50,710.12; Total Trades: 22; Profit Factor: 3.17; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 198; Equity: 50,710.12; Profit / Loss: 767.20; Balance: 50,710.12; Total Trades: 22; Profit Factor: 3.17; Parameters: multiplier=6, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 201; Equity: 50,710.12; Profit / Loss: 767.20; Balance: 50,710.12; Total Trades: 22; Profit Factor: 3.17; Parameters: multiplier=6, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 204; Equity: 50,710.12; Profit / Loss: 767.20; Balance: 50,710.12; Total Trades: 22; Profit Factor: 3.17; Parameters: multiplier=6, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=4, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.9
Pass #: 26; Equity: 50,835.94; Profit / Loss: 905.20; Balance: 50,835.94; Total Trades: 27; Profit Factor: 2.93; Parameters: multiplier=5, zoneShrink=0.9, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
Pass #: 49; Equity: 50,996.87; Profit / Loss: 1,074.20; Balance: 50,996.87; Total Trades: 30; Profit Factor: 2.91; Parameters: multiplier=4, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=90, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.5, numberOfBars=200, tpMultiplier=0.8
