Pass #: 324; Equity: 51,123.84; Profit / Loss: 1,213.20; Balance: 51,123.84; Total Trades: 29; Profit Factor: 3.48; Parameters: multiplier=5, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 319; Equity: 51,106.04; Profit / Loss: 1,195.20; Balance: 51,106.04; Total Trades: 31; Profit Factor: 3.10; Parameters: multiplier=4, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 140; Equity: 51,104.81; Profit / Loss: 1,186.00; Balance: 51,104.81; Total Trades: 27; Profit Factor: 9.90; Parameters: multiplier=5, zoneShrink=0.6, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=40, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 331; Equity: 51,091.32; Profit / Loss: 1,164.40; Balance: 51,091.32; Total Trades: 25; Profit Factor: 4.46; Parameters: multiplier=4, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 335; Equity: 51,091.32; Profit / Loss: 1,164.40; Balance: 51,091.32; Total Trades: 25; Profit Factor: 4.46; Parameters: multiplier=4, zoneShrink=1.1, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 339; Equity: 51,091.32; Profit / Loss: 1,164.40; Balance: 51,091.32; Total Trades: 25; Profit Factor: 4.46; Parameters: multiplier=4, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 340; Equity: 51,091.32; Profit / Loss: 1,164.40; Balance: 51,091.32; Total Trades: 25; Profit Factor: 4.46; Parameters: multiplier=5, zoneShrink=1.2, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 344; Equity: 51,091.32; Profit / Loss: 1,164.40; Balance: 51,091.32; Total Trades: 25; Profit Factor: 4.46; Parameters: multiplier=5, zoneShrink=1.3, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 348; Equity: 51,091.32; Profit / Loss: 1,164.40; Balance: 51,091.32; Total Trades: 25; Profit Factor: 4.46; Parameters: multiplier=5, zoneShrink=1.4, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 352; Equity: 51,091.32; Profit / Loss: 1,164.40; Balance: 51,091.32; Total Trades: 25; Profit Factor: 4.46; Parameters: multiplier=5, zoneShrink=1.5, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 318; Equity: 51,083.39; Profit / Loss: 1,160.40; Balance: 51,083.39; Total Trades: 25; Profit Factor: 4.44; Parameters: multiplier=3, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 304; Equity: 51,070.32; Profit / Loss: 1,143.40; Balance: 51,070.32; Total Trades: 25; Profit Factor: 4.75; Parameters: multiplier=5, zoneShrink=1.4, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 308; Equity: 51,070.32; Profit / Loss: 1,143.40; Balance: 51,070.32; Total Trades: 25; Profit Factor: 4.75; Parameters: multiplier=5, zoneShrink=1.5, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 276; Equity: 51,065.84; Profit / Loss: 1,155.20; Balance: 51,065.84; Total Trades: 29; Profit Factor: 3.41; Parameters: multiplier=5, zoneShrink=0.7, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 280; Equity: 51,065.84; Profit / Loss: 1,155.20; Balance: 51,065.84; Total Trades: 29; Profit Factor: 3.41; Parameters: multiplier=5, zoneShrink=0.8, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 260; Equity: 51,011.56; Profit / Loss: 1,096.80; Balance: 51,011.56; Total Trades: 29; Profit Factor: 4.22; Parameters: multiplier=5, zoneShrink=1.4, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=60, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 285; Equity: 50,977.85; Profit / Loss: 1,091.20; Balance: 50,977.85; Total Trades: 34; Profit Factor: 2.06; Parameters: multiplier=2, zoneShrink=1.0, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=70, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 343; Equity: 50,964.34; Profit / Loss: 1,037.40; Balance: 50,964.34; Total Trades: 26; Profit Factor: 4.06; Parameters: multiplier=4, zoneShrink=1.3, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
Pass #: 347; Equity: 50,964.34; Profit / Loss: 1,037.40; Balance: 50,964.34; Total Trades: 26; Profit Factor: 4.06; Parameters: multiplier=4, zoneShrink=1.4, myInstrument=EUR/USD, myOfferSide=Bid, bellyBars=80, maxAllowedSize=10, minCandlesToWait=3, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.0, numberOfBars=200, tpMultiplier=0.5
