Pass #: 82; Equity: 56,572.84; Profit / Loss: 6,607.00; Balance: 56,477.44; Total Trades: 12; Profit Factor: 4.40; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=4.5
Pass #: 58; Equity: 56,364.28; Profit / Loss: 6,426.80; Balance: 56,268.88; Total Trades: 20; Profit Factor: 2.64; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=3.5
Pass #: 68; Equity: 56,339.76; Profit / Loss: 6,377.40; Balance: 56,339.76; Total Trades: 11; Profit Factor: 5.04; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=4.0
Pass #: 77; Equity: 56,291.81; Profit / Loss: 6,368.20; Balance: 56,291.81; Total Trades: 25; Profit Factor: 3.18; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=4.5
Pass #: 79; Equity: 56,200.06; Profit / Loss: 6,266.00; Balance: 56,104.66; Total Trades: 17; Profit Factor: 2.92; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=4.5
Pass #: 60; Equity: 55,933.82; Profit / Loss: 6,003.00; Balance: 55,933.82; Total Trades: 23; Profit Factor: 2.78; Parameters: multiplier=2.0, zoneShrink=0.3, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=3.5
Pass #: 67; Equity: 55,674.04; Profit / Loss: 5,708.20; Balance: 55,578.64; Total Trades: 12; Profit Factor: 3.93; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=4.0
Pass #: 22; Equity: 55,669.75; Profit / Loss: 5,728.20; Balance: 55,574.35; Total Trades: 20; Profit Factor: 2.96; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=2.5
Pass #: 40; Equity: 55,535.09; Profit / Loss: 5,597.60; Balance: 55,439.69; Total Trades: 20; Profit Factor: 2.69; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.5, numberOfBars=150, tpMultiplier=3.0
Pass #: 88; Equity: 55,195.45; Profit / Loss: 5,213.40; Balance: 55,100.05; Total Trades: 7; Profit Factor: 15.66; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=4.5
Pass #: 64; Equity: 55,173.68; Profit / Loss: 5,240.40; Balance: 55,078.28; Total Trades: 17; Profit Factor: 2.60; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=4.0
Pass #: 43; Equity: 54,939.08; Profit / Loss: 5,001.60; Balance: 54,843.68; Total Trades: 20; Profit Factor: 2.27; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.8, numberOfBars=150, tpMultiplier=3.0
Pass #: 32; Equity: 54,790.13; Profit / Loss: 4,890.80; Balance: 54,790.13; Total Trades: 30; Profit Factor: 2.41; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=3.0
Pass #: 62; Equity: 54,551.40; Profit / Loss: 4,644.80; Balance: 54,551.40; Total Trades: 29; Profit Factor: 2.25; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.6, numberOfBars=150, tpMultiplier=4.0
Pass #: 80; Equity: 54,452.72; Profit / Loss: 4,513.60; Balance: 54,452.72; Total Trades: 16; Profit Factor: 2.38; Parameters: multiplier=2.0, zoneShrink=0.2, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=4.5
Pass #: 7; Equity: 54,297.53; Profit / Loss: 4,360.00; Balance: 54,202.13; Total Trades: 21; Profit Factor: 2.47; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=1.2, numberOfBars=150, tpMultiplier=2.0
Pass #: 49; Equity: 54,145.13; Profit / Loss: 4,213.40; Balance: 54,049.73; Total Trades: 17; Profit Factor: 2.27; Parameters: multiplier=2.0, zoneShrink=0.1, candlesToWaitOrder=5, myInstrument=EUR/USD, myOfferSide=Bid, maxAllowedSize=10, myPeriodForZones=Hourly, minCandlesToWait=2, adjacents=3, turningPoints=3, myPeriod=30 Mins, candlesToWait=14, slMultiplier=0.9, numberOfBars=150, tpMultiplier=3.5
